age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,target
2.0,0.0,188950.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,>50K
1.0,0.0,1033222.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
1.0,0.0,129707.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,>50K
1.0,0.0,78530.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,>50K
1.0,0.0,159537.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
3.0,0.0,96586.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,>50K
2.0,0.0,165346.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,<=50K
1.0,0.0,142712.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
4.0,0.0,175964.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
1.0,0.0,229656.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,>50K
2.0,0.0,25806.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
0.0,0.0,340543.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
4.0,0.0,31781.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,<=50K
1.0,0.0,56121.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,<=50K
3.0,0.0,126840.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
2.0,0.0,67187.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,<=50K
