X_0,X_1,target
1.4740174071617194,3.3501889904813655,1
8.525254138748865,9.294668634905529,2
10.082291515963586,-4.142423195023245,3
-1.3129542013994044,-4.765519245270472,0
2.070171737157633,2.6533582577143013,1
-1.2527735202321932,-3.6160391370722036,0
8.269986714985539,8.221098606053744,2
-1.1757068716658634,-3.7596283089266667,0
9.937685240771346,-4.18024220567104,3
1.4864890205217913,2.613776689522582,1
1.5892076160698252,2.462425794374409,1
10.114226922529454,-4.378706124531488,3
2.224409567672053,3.2439006386274825,1
10.158418685942001,-3.8833778776218693,3
-0.6469679988152104,-3.7890722628669447,0
8.32454553162935,8.066662547866853,2
