X_0,X_1,target
-1.2275999812373488,-3.6298788069303143,0
1.8385157882239223,3.8786549015017875,1
1.9797077933899108,2.945374898221886,1
-1.3129542013994044,-4.765519245270472,0
-0.6314456512414355,-4.3267095396973785,0
-1.2527735202321932,-3.6160391370722036,0
1.583248364460596,2.8050848726500037,1
-1.1757068716658634,-3.7596283089266667,0
1.8351015181976713,2.9075558875740906,1
-1.2151283678772768,-4.366291107889098,0
-1.112409772329243,-4.51764200303727,0
2.011643199955779,2.7090919687136417,1
-0.47720782072701506,-3.7361671587841974,0
2.055834963368327,3.204420215623261,1
-0.6469679988152104,-3.7890722628669447,0
1.6378071811044086,2.6506488144631124,1
