X_0,X_1,target
1.4740174071617194,3.3501889904813655,1
1.8385157882239223,3.8786549015017875,1
8.666446143914854,8.361388631625626,2
-1.3129542013994044,-4.765519245270472,0
2.070171737157633,2.6533582577143013,1
-1.2527735202321932,-3.6160391370722036,0
8.269986714985539,8.221098606053744,2
-1.1757068716658634,-3.7596283089266667,0
8.521839868722614,8.323569620977832,2
1.4864890205217913,2.613776689522582,1
1.5892076160698252,2.462425794374409,1
8.698381550480722,8.125105702117382,2
2.224409567672053,3.2439006386274825,1
8.742573313893269,8.620433949027001,2
-0.6469679988152104,-3.7890722628669447,0
8.32454553162935,8.066662547866853,2
-0.3698216785284191,-3.789549355086682,0
8.520571686763867,8.138864133585969,2
8.605468922867837,7.9030188438519176,2
1.6657691465521955,3.6504424021162842,1
1.6850789089704445,3.0130816536947505,1
-0.774443021344538,-4.025716533252862,0
1.7890776929744727,3.1830213639565086,1
2.111406777888065,2.9358713145064317,1
8.977374578734663,8.608808512507201,2
9.085449404171872,9.239977302015465,2
-0.4843654720425477,-3.9184478808428027,0
2.0986833476371154,3.6640505788302895,1
-1.5738003600944486,-3.6291957729010824,0
1.5665282613383102,2.912853649194243,1
8.832035557069693,8.20996710860064,2
2.037730377598582,2.883588864277553,1
-1.269978581094241,-4.330857504698917,0
8.032819679580047,8.00103437172794,2
-0.7772184485246743,-3.7706671844913826,0
-1.0144822795331694,-3.511425230808991,0
-0.8749245180517389,-3.5049965647253427,0
-1.3454437790099119,-3.945248537102012,0
0.9428343530357126,2.4900033672458792,1
-1.0091517597962194,-3.88414107579972,0
8.478869797608382,8.315001442825853,2
8.082933622600882,8.309094646864013,2
8.695856318362205,8.378388340279583,2
1.8015241659404588,2.8505677291094087,1
7.852055787039013,8.158291615157303,2
-0.16892228997915615,-4.696914181741821,0
8.256612420778103,8.163781769036236,2
1.6948681938880892,2.6465147168199192,1
-0.2156925974584465,-4.281823737005877,0
9.297593678785155,8.278228655656289,2
8.497488323513599,9.143026197026371,2
-1.3056433384146175,-3.7656092827788683,0
2.611532656710075,3.0376853318198833,1
-0.8315212219764754,-4.307489049529126,0
-0.4898508634158343,-4.175391952439314,0
8.393845197765122,8.585854048736016,2
-1.2490201554406066,-4.872163788646147,0
2.2919864855930037,2.924488584624038,1
-0.16612023170288914,-3.8235805247052865,0
2.116425618220078,3.1639822380237588,1
2.043364466653969,2.57441585295912,1
-1.1993164901657756,-3.4507938818832944,0
9.273796315991392,8.233220413207231,2
9.270754897109756,7.758420124726807,2
